nk,sk,tcg,name,set,sf,ck,mp
unlicensedhearse,outlawsofthunderjunctionbreakingnews,0.34,Unlicensed Hearse,Outlaws of Thunder Junction: Breaking News,5447a777-769d-4773-ab64-31c67e310e15,0.99,0.15
chaoswarp,starterdecks,0.34,Chaos Warp,Starter Commander Decks,07d3dbce-ef28-4c03-9b7b-92f1caaf1f01,0.79,0.33
rosiecottonofsouthlane,lordofringstalesofmiddleearth,0.34,Rosie Cotton of South Lane,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,75338f49-1f02-4333-87e4-5779ef14e688,0.39,0.15
mindstone,masters,0.34,Mind Stone,Commander Masters,aeaf1f56-de96-480a-a0c4-0a06d4daf149,0.79,0.31
gingerbrute,wildsofeldraine,0.35,Gingerbrute,Wilds of Eldraine,09a4578a-7dc6-4da3-93ee-913b10be5740,0.69,0.19
grapeshot,timespiralremastered,0.35,Grapeshot,Time Spiral: Remastered,585bed40-9ca6-46a0-80c4-c769cd8e2b20,0.59,0.17
firdochcore,lorwyneclipsed,0.35,Firdoch Core,Lorwyn Eclipsed,8e45cd37-bf97-4742-978d-96f96ed653cd,0.39,0.15
asmodeusthearchfiend,adventuresinforgottenrealms,0.35,Asmodeus the Archfiend,Adventures in the Forgotten Realms,a5e6b864-58e7-43b9-9d79-1d0361340960,0.49,0.15
llanowarelves,9thedition,0.35,Llanowar Elves,9th Edition,913907e2-28dd-4080-b725-52a43868e060,0.69,0.36
loyalapprentice,fallout,0.35,Loyal Apprentice,Universes Beyond: Fallout,f5cd0e82-d2aa-4614-93a2-b84828866742,0.49,0.21
keytothecity,kaladesh,0.35,Key to the City,Kaladesh,66154969-5c69-40ce-8bc9-c9bc5e280d4c,0.69,0.23
gingerbrute,jumpstart,0.35,Gingerbrute,Jumpstart,c1195ec5-979b-4c4a-9c04-62bb53c2b011,0.79,0.35
faerieseer,foundationsjumpstart,0.35,Faerie Seer,Foundations Jumpstart,f0b96dc7-d046-4b64-b3a8-8bf5ac7c8f9b,0.69,0.26
llanowarelves,foundationsjumpstart,0.35,Llanowar Elves,Foundations Jumpstart,d9c02310-6a14-45c2-ae8c-b0fff7245673,0.69,0.26
exoticorchard,legendsbattleforbaldursgate,0.35,Exotic Orchard,Commander Legends: Battle for Baldur's Gate,0de15320-485c-4191-8f15-12f9d1b340ba,0.49,0.2
mindstone,fallout,0.35,Mind Stone,Universes Beyond: Fallout,b88baf29-a556-4e89-8471-9ba9bc8efe2c,0.79,0.26
battlefieldforge,2020,0.36,Battlefield Forge,Commander 2020,eb139e09-4e88-498a-908e-d16b5ddf1320,0.69,0.33
iorethofthehealinghouse,lordofringstalesofmiddleearth,0.36,Ioreth of the Healing House,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,03ab74cd-978a-49eb-9d38-bc8b472b3cef,0.79,0.15
greedyfreebooter,lostcavernsofixalan,0.36,Greedy Freebooter,The Lost Caverns of Ixalan,692fe4e8-13b4-4bec-938e-a8073a7fbd71,0.79,0.15
chromaticstar,doublemasters,0.36,Chromatic Star,Double Masters,117fded3-1157-41a3-b37a-e76dcd1b5447,0.39,0.3
llanowarelves,7thedition,0.36,Llanowar Elves,7th Edition,ed8a8cfd-baef-4198-b1f3-4926139588b2,0.79,0.36
chromaticstar,timespiralremastered,0.36,Chromatic Star,Time Spiral: Remastered,c2e8d492-2c67-410b-b556-c157a14c4cec,0.35,0.15
