Price,CardKingdom_pct,ManaPool_pct,Volume
32.24,24.0,-12.0,105474
32.7,46.8,7.2,101072
32.73,46.6,-2.3,100720
32.85,-14.8,-43.0,97214
32.88,-14.9,-11.9,73430
32.94,66.9,1.2,106185
33.5,34.3,9.7,101389
33.57,28.1,-7.8,87566
33.77,33.2,-7.5,101659
34.25,40.1,-21.7,99837
35.53,12.6,2.6,104463
35.87,53.3,-2.7,105180
35.94,61.4,32.9,101584
36.03,19.3,-3.2,104603
36.66,-40.0,-55.5,68912
37.26,61.0,37.0,101730
37.65,-33.6,-14.8,71675
37.69,27.3,-4.4,102673
37.71,6.0,-0.6,100914
37.78,13.8,0.2,105676
37.83,45.4,-2.3,98086
37.88,0.3,-33.7,96258
38.31,17.4,3.3,104238
38.56,42.6,11.7,99875
38.69,16.3,-20.0,96636
38.84,-22.8,-20.2,77998
39.7,-4.3,-21.3,85301
40.69,42.5,0.2,104428
40.76,-14.2,-27.8,52683
41.59,20.2,-5.2,104366
41.68,15.1,-2.5,92611
42.64,-29.7,-4.9,71675
43.41,26.7,-7.6,91075
43.41,26.7,6.7,101554
47.06,16.9,4.4,97078
47.36,16.1,0.1,99471
49.35,62.1,-0.8,105960
50.05,39.8,-14.7,103929
50.6,8.7,-0.4,78990
