,tcgplayer,cardkingdom,manapool,name,set,nk
229301,13.84,14.99,14.34,Giver of Runes,The List Reprints,giverofrunes
275344,9.99,10.99,10.09,Goblin Engineer,The List Reprints,goblinengineer
583113,0.67,1.49,0.52,God-Pharaoh's Statue,The List Reprints,godpharaohsstatue
240841,17.28,16.99,17.19,Grand Arbiter Augustin IV,The List Reprints,grandarbiteraugustiniv
204581,0.41,0.79,0.33,Grapeshot,The List Reprints,grapeshot
204259,1.69,2.49,1.03,Gravecrawler,The List Reprints,gravecrawler
204263,0.96,2.49,1.01,Gray Merchant of Asphodel,The List Reprints,graymerchantofasphodel
581324,0.44,1.29,0.41000000000000003,Gudul Lurker,The List Reprints,gudullurker
204014,3.53,3.99,3.2800000000000002,Gush,The List Reprints,gush
204623,5.38,8.99,4.99,Gut Shot,The List Reprints,gutshot
582720,0.2,0.35,0.15,Heartless Act,The List Reprints,heartlessact
492639,3.02,2.79,2.31,Hope of Ghirapur,The List Reprints,hopeofghirapur
693814,2.46,,2.44,Howlsquad Heavy,The List Reprints,howlsquadheavy
583018,0.98,2.29,1.02,Ignoble Hierarch,The List Reprints,ignoblehierarch
693879,0.54,,0.29,Impulsive Pilferer,The List Reprints,impulsivepilferer
533169,9.61,12.99,9.370000000000001,"Jace, Wielder of Mysteries",The List Reprints,jacewielderofmysteries
254586,18.61,19.99,17.71,Jet Medallion,The List Reprints,jetmedallion
454168,1.24,1.49,1.0,"K'rrik, Son of Yawgmoth",The List Reprints,krriksonofyawgmoth
275168,7.68,9.99,6.55,Kederekt Parasite,The List Reprints,kederektparasite
496199,14.92,17.99,15.89,"Kinnan, Bonder Prodigy",The List Reprints,kinnanbonderprodigy
275378,,,,"Krark, the Thumbless",The List Reprints,krarkthethumbless
222737,0.34,0.49,0.15,Light Up the Stage,The List Reprints,lightupthestage
203343,0.36,0.35,0.26,Lightning Helix,The List Reprints,lightninghelix
203419,0.42,0.99,0.41000000000000003,Llanowar Elves,The List Reprints,llanowarelves
631652,0.53,,0.55,Llanowar Wastes,The List Reprints,llanowarwastes
203001,37.74,42.99,35.42,Lotus Petal,The List Reprints,lotuspetal
248701,0.33,0.49,0.34,Loyal Apprentice,The List Reprints,loyalapprentice
235240,0.95,0.99,0.98,"Lukka, Coppercoat Outcast",The List Reprints,lukkacoppercoatoutcast
631632,2.63,,2.96,"Magda, Brazen Outlaw",The List Reprints,magdabrazenoutlaw
248726,5.27,5.99,5.3,Magus of the Moon,The List Reprints,magusofthemoon
204617,5.01,6.49,4.64,Manamorphose,The List Reprints,manamorphose
533995,1.37,2.29,1.19,Maskwood Nexus,The List Reprints,maskwoodnexus
210377,3.6,3.49,1.82,Memnite,The List Reprints,memnite
248666,27.95,29.99,27.7,"Mikaeus, the Unhallowed",The List Reprints,mikaeustheunhallowed
210357,,,,"Minamo, School at Water's Edge",The List Reprints,minamoschoolatwatersedge
235243,5.35,4.49,4.13,Mirrorpool,The List Reprints,mirrorpool
204076,14.59,16.99,12.24,Misdirection,The List Reprints,misdirection
203017,2.4,3.49,2.08,Mishra's Bauble,The List Reprints,mishrasbauble
581561,1.22,1.79,0.65,Mistblade Shinobi,The List Reprints,mistbladeshinobi
581626,0.39,1.49,0.2,Mothdust Changeling,The List Reprints,mothdustchangeling
275349,2.35,2.79,2.06,Muddle the Mixture,The List Reprints,muddlethemixture
631655,4.11,6.49,4.86,Mutavault,The List Reprints,mutavault
229326,24.14,21.99,20.82,Mystical Tutor,The List Reprints,mysticaltutor
581813,4.73,3.49,2.84,Narset's Reversal,The List Reprints,narsetsreversal
203444,1.25,1.49,1.03,Nature's Claim,The List Reprints,naturesclaim
222757,20.29,27.99,20.73,Necromancy,The List Reprints,necromancy
496244,5.27,5.49,4.83,Needleverge Pathway,The List Reprints,needlevergepathway
526554,9.8,12.99,9.39,"Nezahal, Primal Tide",The List Reprints,nezahalprimaltide
275386,,,,"Niv-Mizzet, Parun",The List Reprints,nivmizzetparun
583112,11.92,14.99,10.65,Noble Hierarch,The List Reprints,noblehierarch
254601,7.71,8.99,6.7700000000000005,Noxious Revival,The List Reprints,noxiousrevival
222763,55.67,69.99,57.61,"Nykthos, Shrine to Nyx",The List Reprints,nykthosshrinetonyx
284405,4.96,4.49,4.37,Obliterate,The List Reprints,obliterate
581986,12.21,13.99,10.870000000000001,Ophidian Eye,The List Reprints,ophidianeye
204105,0.27,0.49,0.18,Opt,The List Reprints,opt
284406,10.43,12.99,7.21,Orim's Chant,The List Reprints,orimschant
203029,0.33,0.69,0.31,Ornithopter,The List Reprints,ornithopter
583148,0.44,0.99,0.5,Ornithopter of Paradise,The List Reprints,ornithopterofparadise
222479,20.22,23.99,20.77,Pact of Negation,The List Reprints,pactofnegation
583150,8.52,10.99,7.41,Paradise Mantle,The List Reprints,paradisemantle
582777,3.38,4.49,2.18,Peer into the Abyss,The List Reprints,peerintotheabyss
581994,0.3,0.69,0.32,Peregrine Drake,The List Reprints,peregrinedrake
204122,3.69,4.99,2.86,Phyrexian Metamorph,The List Reprints,phyrexianmetamorph
284412,3.57,,1.6500000000000001,Phyrexian Walker,The List Reprints,phyrexianwalker
222448,32.15,44.99,40.06,Phyrexian Tower,The List Reprints,phyrexiantower
583403,0.19,0.35,0.15,Plundering Barbarian,The List Reprints,plunderingbarbarian
275351,3.87,3.99,4.0600000000000005,Ponder,The List Reprints,ponder
210443,,,,Pyretic Ritual,The List Reprints,pyreticritual
262920,0.55,2.49,0.6,Pyroclasm,The List Reprints,pyroclasm
583411,1.66,3.49,2.08,Pyrokinesis,The List Reprints,pyrokinesis
582828,6.7,9.49,4.86,Rain of Filth,The List Reprints,rainoffilth
533194,37.73,54.99,39.83,Ranger-Captain of Eos,The List Reprints,rangercaptainofeos
204763,0.51,0.79,0.31,Reality Scramble,The List Reprints,realityscramble
582348,10.1,13.99,8.120000000000001,Reanimate,The List Reprints,reanimate
204764,1.0,0.99,0.51,Reckless Fireweaver,The List Reprints,recklessfireweaver
583169,1.5,2.29,1.3,Relic of Legends,The List Reprints,relicoflegends
222471,2.48,2.99,2.54,Rest in Peace,The List Reprints,restinpeace
204133,0.37,0.69,0.3,Retraction Helix,The List Reprints,retractionhelix
204134,71.9,74.99,65.68,Rhystic Study,The List Reprints,rhysticstudy
583425,0.41,0.49,0.2,Ricochet Trap,The List Reprints,ricochettrap
229334,12.39,11.99,12.76,Rite of Flame,The List Reprints,riteofflame
454421,2.24,1.99,1.3800000000000001,Saheeli Rai,The List Reprints,saheelirai
507586,0.54,0.49,0.78,Scavenging Ooze,The List Reprints,scavengingooze
222489,33.85,44.99,40.39,Scroll Rack,The List Reprints,scrollrack
492687,19.8,27.99,19.79,Sea of Clouds,The List Reprints,seaofclouds
203506,6.56,,3.86,"Selvala, Heart of the Wilds",The List Reprints,selvalaheartofthewilds
262929,44.46,54.99,41.15,Sensei's Divining Top,The List Reprints,senseisdiviningtop
512079,30.18,29.99,29.17,Serra Ascendant,The List Reprints,serraascendant
254611,14.77,18.99,14.25,"Shinka, the Bloodsoaked Keep",The List Reprints,shinkathebloodsoakedkeep
275359,0.93,0.99,0.8300000000000001,Shivan Reef,The List Reprints,shivanreef
204651,0.22,0.35,0.15,Shock,The List Reprints,shock
248718,11.09,8.99,7.43,"Sidisi, Undead Vizier",The List Reprints,sidisiundeadvizier
243622,8.78,11.99,9.16,Silence,The List Reprints,silence
583188,0.5,0.99,0.36,Signal Pest,The List Reprints,signalpest
222142,4.33,3.99,3.49,Simian Spirit Guide,The List Reprints,simianspiritguide
496170,2.54,2.79,2.34,"Sisay, Weatherlight Captain",The List Reprints,sisayweatherlightcaptain
582615,0.32,1.29,0.32,Siren Stormtamer,The List Reprints,sirenstormtamer
582860,0.36,1.29,0.17,Skirge Familiar,The List Reprints,skirgefamiliar
582867,0.38,0.49,0.15,Skullsnatcher,The List Reprints,skullsnatcher
583192,0.6,1.49,0.45,Smuggler's Copter,The List Reprints,smugglerscopter
248712,18.06,18.99,20.82,Snapcaster Mage,The List Reprints,snapcastermage
533196,0.83,1.29,0.54,Spell Snare,The List Reprints,spellsnare
262937,1.09,0.99,0.62,Spirit of the Labyrinth,The List Reprints,spiritofthelabyrinth
