productId,name,set,tcgplayer,cardkingdom,manapool,ck_pct,mp_pct,source,band
553235,Talon Gates of Madara,Commander: Modern Horizons 3,28.77,29.99,27.92,4.240528328119566,-2.954466458116085,top-5000 GMV,$20-50
630870,"Cloud, Midgar Mercenary",FINAL FANTASY,21.62,24.99,19.78,15.58741905642922,-8.510638297872338,top-5000 GMV,$20-50
262051,"Boseiju, Who Endures (Borderless)",Kamigawa: Neon Dynasty,66.32,94.99,66.08,43.229794933655015,-0.3618817852834664,top-5000 GMV,$50-100
448904,Chrome Mox,Secret Lair Countdown Kit,187.01,179.99,187.56,-3.753809956686799,0.2941019196834455,top-5000 GMV,$100-200
222103,Malakir Rebirth,Zendikar Rising,12.7,16.99,12.52,33.77952755905511,-1.4173228346456672,top-5000 GMV,$10-20
162175,Rat Colony,Dominaria,5.62,7.49,5.09,33.27402135231317,-9.43060498220641,top-5000 GMV,$5-10
6232,Replenish,Urza's Destiny,225.1,199.99,125.02,-11.15504220346512,-44.46023989338072,top-5000 GMV,$200+
630917,Summon: Bahamut,FINAL FANTASY,23.76,32.99,20.63,38.84680134680135,-13.173400673400684,top-5000 GMV,$20-50
262434,"Otawara, Soaring City",Kamigawa: Neon Dynasty,27.69,42.99,29.99,55.25460455037919,8.30624774286745,top-5000 GMV,$20-50
544392,"Bristly Bill, Spine Sower",Outlaws of Thunder Junction,41.82,49.99,40.1,19.536107125777143,-4.112864658058343,top-5000 GMV,$20-50
638912,Sacred Foundry,Edge of Eternities,10.13,14.99,9.37,47.976307996051325,-7.502467917078001,top-5000 GMV,$10-20
660577,The Banyan Tree - The Great Henge (Borderless),Avatar: The Last Airbender: Eternal-Legal,59.04,89.99,60.43,52.4220867208672,2.354336043360435,top-5000 GMV,$50-100
697059,"Shang-Chi, Master of Kung Fu",Marvel Super Heroes,9.99,17.99,10.3,80.08008008008007,3.103103103103108,top-5000 GMV,$5-10
614418,Riverpyre Verge,Aetherdrift,20.41,27.99,20.0,37.13865752082312,-2.0088192062714363,top-5000 GMV,$20-50
648709,Redirect Lightning,Avatar: The Last Airbender,12.22,17.99,10.3,47.21767594108018,-15.71194762684124,top-5000 GMV,$10-20
188701,Finale of Devastation,War of the Spark,46.84,69.99,44.46,49.42356959863363,-5.081127241673789,top-5000 GMV,$20-50
697485,Heaven-Sent Marvel - Archangel of Thune (Borderless),Marvel Universe Eternal-Legal,19.46,19.99,19.01,2.7235354573483943,-2.312435765673172,top-5000 GMV,$10-20
218603,Mox Opal (Borderless),Double Masters,375.63,399.99,307.39,6.485105023560422,-18.166813087346597,top-5000 GMV,$200+
686599,"Prismari, the Inspiration",Secrets of Strixhaven,4.07,4.99,3.12,22.6044226044226,-23.34152334152334,top-5000 GMV,$2-5
688950,Decorum Dissertation,Secrets of Strixhaven,6.97,8.49,5.21,21.80774748923961,-25.251076040172165,top-5000 GMV,$5-10
490390,"Etali, Primal Conqueror",March of the Machine,33.04,42.99,33.08,30.11501210653754,0.1210653753026608,top-5000 GMV,$20-50
641757,Quantum Riddler (Borderless),Edge of Eternities,42.46,64.99,41.68,53.06170513424397,-1.8370230805463992,top-5000 GMV,$20-50
525381,Hunting Velociraptor (Borderless),Universes Beyond: Jurassic World Collection,74.13,74.99,66.96000000000001,1.160124106299743,-9.67219749089436,top-5000 GMV,$50-100
