productId,name,set,key,tcg_market
57673,Grafdigger's Cage,Dark Ascension,grafdiggers cage,2.89
239388,Unmarked Grave,Modern Horizons 2,unmarked grave,2.9
560002,Hazel's Brewmaster,Commander: Bloomburrow,hazels brewmaster,2.96
212143,"Tayam, Luminous Enigma",Commander 2020,tayam luminous enigma,2.98
36237,Memnite,Scars of Mirrodin,memnite,2.98
580763,"Marvin, Murderous Mimic",Promo Pack: Duskmourn: House of Horror,marvin murderous mimic,2.99
109917,Dark Ritual,Revised Edition (Foreign White Border),dark ritual,3.0
544403,Aven Interrupter,Outlaws of Thunder Junction,aven interrupter,3.02
492639,Hope of Ghirapur,The List Reprints,hope of ghirapur,3.03
457270,Elvish Spirit Guide,Dominaria Remastered,elvish spirit guide,3.04
552580,Fell the Profane,Modern Horizons 3,fell the profane,3.1
689149,Brain Freeze,Secrets of Strixhaven: Mystical Archive,brain freeze,3.13
39509,Dismember,New Phyrexia,dismember,3.15
215373,Peer into the Abyss,Core Set 2021,peer into the abyss,3.15
248179,"Teferi, Who Slows the Sunset",Innistrad: Midnight Hunt,teferi who slows the sunset,3.17
481582,"Skrelv, Defector Mite",Promo Pack: Phyrexia: All Will Be One,skrelv defector mite,3.18
126480,Felidar Guardian,Aether Revolt,felidar guardian,3.18
687475,Harmonic Prodigy,Commander: Secrets of Strixhaven,harmonic prodigy,3.21
697282,Doomsday,Commander: Marvel Super Heroes,doomsday,3.27
458224,Snap,Dominaria Remastered,snap,3.31
212174,Crop Rotation,Commander 2020,crop rotation,3.31
559141,Mockingbird,Bloomburrow,mockingbird,3.33
544937,Legion Extruder,Outlaws of Thunder Junction: The Big Score,legion extruder,3.34
71881,From the Ashes,Commander 2013,from the ashes,3.38
463383,Gemstone Mine,Dominaria Remastered,gemstone mine,3.4
1898,Red Elemental Blast,Fourth Edition,red elemental blast,3.41
671244,"Selvala, Heart of the Wilds",Commander: Lorwyn Eclipsed,selvala heart of the wilds,3.45
276762,Aether Vial,Double Masters 2022,aether vial,3.45
552336,Witch Enchanter,Modern Horizons 3,witch enchanter,3.47
204599,Wargate,The List Reprints,wargate,3.49
504503,"Yuriko, the Tiger's Shadow",Commander Masters,yuriko the tigers shadow,3.5
11164,Obliterate,8th Edition,obliterate,3.51
579308,Dryad Arbor,Commander: Duskmourn: House of Horror,dryad arbor,3.55
191057,Collector Ouphe,Modern Horizons,collector ouphe,3.56
1341,Basalt Monolith,Revised Edition,basalt monolith,3.58
221838,Needleverge Pathway,Zendikar Rising,needleverge pathway,3.59
559146,Valley Floodcaller,Bloomburrow,valley floodcaller,3.6
548596,Flare of Denial,Modern Horizons 3,flare of denial,3.61
285591,"Braids, Arisen Nightmare",Promo Pack: Dominaria United,braids arisen nightmare,3.62
120003,Eldritch Evolution,Eldritch Moon,eldritch evolution,3.63
263102,Swift Reconfiguration,Commander: Kamigawa: Neon Dynasty,swift reconfiguration,3.65
698035,Toxic Deluge,Commander: Marvel Super Heroes,toxic deluge,3.65
35627,Voltaic Key,Magic 2011 (M11),voltaic key,3.67
697516,Rejuvenating Springs,Commander: Marvel Super Heroes,rejuvenating springs,3.72
253555,Kessig Flamebreather,Innistrad: Crimson Vow,kessig flamebreather,3.73
273750,Mutavault,Commander Legends: Battle for Baldur's Gate,mutavault,3.76
