card,tcg,ck_price,mp_price,ck_pct,mp_pct,units,origin,ck_cal,ck_cal_pct,band,mp_market,productId
Bojuka Bog,1.03,2.29,0.92,122.33009708737865,-10.679611650485436,3356.0,live,1.96024,90.31456310679611,$1-2,1.02,687669.0
Lorien Revealed,4.73,6.49,3.9,37.20930232558139,-17.547568710359418,2952.0,live,5.55544,17.451162790697662,$2-5,,499960.0
M.O.D.O.K.,4.27,7.99,3.8,87.11943793911009,-11.007025761124115,2096.0,live,6.83944,60.17423887587823,$2-5,4.5,696242.0
Petrified Hamlet,0.61,0.49,0.15,-19.672131147540984,-75.40983606557377,3061.0,live,0.41944,-31.23934426229508,$0-1,0.24,688982.0
Fanatic of Rhonas,13.97,16.99,13.49,21.61775232641373,-3.435934144595565,2027.0,live,14.54344,4.10479599141015,$10-20,12.0,552830.0
Evolution Witness,0.29,0.79,0.15,172.41379310344828,-48.27586206896552,2525.0,live,0.6762400000000001,133.18620689655177,$0-1,0.25,552324.0
"Silverquill, the Disputant",1.99,1.29,1.01,-35.175879396984925,-49.246231155778894,1900.0,live,1.10424,-44.51055276381909,$1-2,1.47,686608.0
Blood Crypt,9.43,12.99,9.1,37.751855779427366,-3.4994697773064694,2041.0,live,11.11944,17.915588547189813,$5-10,9.21,656687.0
Blazing Firesinger,0.32,0.35,0.15,9.374999999999991,-53.125,2892.0,live,0.2996,-6.375000000000009,$0-1,,689486.0
Daydream,0.4,0.35,0.15,-12.50000000000001,-62.5,3099.0,live,0.2996,-25.10000000000001,$0-1,0.22,688650.0
Cosmic Cube,12.43,17.99,11.46,44.73049074818986,-7.803700724054698,1952.0,live,15.399439999999998,23.88930008045051,$10-20,13.0,696671.0
The Wondrous Wasp,0.69,1.29,0.15,86.95652173913045,-78.26086956521738,3447.0,live,1.10424,60.03478260869568,$0-1,0.5,696658.0
Victimize,0.5,1.29,0.2,158.0,-60.0,2550.0,live,1.10424,120.84800000000004,$0-1,0.49,552740.0
Tamiyo's Safekeeping,6.61,8.99,4.91,36.006051437216335,-25.718608169440245,2163.0,live,7.69544,16.421180030257172,$5-10,5.3,262765.0
Formidable Speaker,8.11,10.99,7.18,35.51171393341555,-11.467324290998764,2209.0,live,9.40744,15.9980271270037,$5-10,7.12,656667.0
Bridgeworks Battle,0.94,1.99,0.89,111.70212765957449,-5.319148936170206,2698.0,live,1.70344,81.21702127659576,$0-1,,552579.0
"The Mighty Thor, Jane Foster",0.44,0.49,0.15,11.36363636363636,-65.90909090909092,2825.0,live,0.41944,-4.672727272727277,$0-1,0.27,696645.0
Culling the Weak,10.35,9.99,7.37,-3.478260869565212,-28.79227053140097,1765.0,live,8.55144,-17.377391304347828,$10-20,7.22,688899.0
Sol Ring,1.89,2.79,1.53,47.61904761904763,-19.04761904761904,2787.0,live,2.38824,26.36190476190477,$1-2,1.65,687542.0
King T'Challa,11.7,18.99,9.46,62.30769230769231,-19.14529914529913,2136.0,live,16.25544,38.93538461538463,$10-20,,696324.0
The Earth Crystal,12.13,17.99,11.72,48.30997526793072,-3.3800494641385006,1776.0,live,15.399439999999998,26.9533388293487,$10-20,11.85,633136.0
The Astonishing Ant-Man,0.31,0.49,0.15,58.06451612903225,-51.61290322580645,2605.0,live,0.41944,35.30322580645161,$0-1,0.28,696632.0
Warren Soultrader,14.84,20.99,14.18,41.442048517520206,-4.447439353099732,1858.0,live,17.96744,21.074393530997305,$10-20,13.75,552631.0
