productId,name,set,transactions,units,gmv_sale
552306,Ruby Medallion,Modern Horizons 3,1342,1516,18321.71
4146,Force of Will,Alliances,212,266,18290.17
6886,Gilded Drake,Urza's Saga,105,107,18281.51
276329,Imperial Seal (Borderless),Double Masters 2022,96,97,18258.96
689056,Cauldron of Essence,Secrets of Strixhaven,3767,4333,18222.39
696417,Simulacrum Synthesizer (Borderless),Marvel Universe Eternal-Legal,840,892,18177.38
552830,Fanatic of Rhonas,Modern Horizons 3,1753,2027,18100.09
689924,Consecrated Sphinx (Retro Frame),MagicFest Cards,712,936,18099.64
589389,Scythecat Cub,Foundations Jumpstart,551,651,18019.33
630929,Traveling Chocobo,FINAL FANTASY,885,950,18005.69
688843,Awaken the Woods,Secrets of Strixhaven: Mystical Archive,961,980,17997.36
590679,"Rev, Tithe Extractor (Anime)",Foundations Jumpstart,638,688,17984.62
673622,Cool but Rude,Teenage Mutant Ninja Turtles,2318,2758,17976.62
504561,Fierce Guardianship,Commander Masters,302,311,17937.86
694832,Swords to Plowshares (Borderless) (Magazine Insert),Media Promos,385,390,17886.07
6303,Deranged Hermit,Urza's Legacy,212,233,17875.15
122852,Lotus Petal,Masterpiece Series: Kaladesh Inventions,17,18,17848.38
552333,"Tamiyo, Inquisitive Student",Modern Horizons 3,673,977,17836.42
668460,Bruce Banner,Marvel Super Heroes,1640,1860,17821.85
273003,Ancient Copper Dragon (Borderless),Commander Legends: Battle for Baldur's Gate,118,118,17694.45
641725,Exalted Sunborn,Edge of Eternities,997,1128,17658.28
688845,Awaken the Woods (JP Alternate Art) (Silver Scroll Foil),Secrets of Strixhaven: Mystical Archive,140,140,17638.41
660518,Force of Negation (Borderless),Avatar: The Last Airbender: Eternal-Legal,346,367,17608.52
656781,Flash Photography (Borderless),Commander: FINAL FANTASY,483,513,17573.75
517252,Call Forth the Tempest (Borderless),Commander: The Lord of the Rings: Tales of Middle-earth,507,523,17551.87
240036,Esper Sentinel (Showcase),Modern Horizons 2,287,291,17505.38
66473,Cyclonic Rift,Return to Ravnica,569,583,17398.19
122709,Aetherflux Reservoir,Kaladesh,765,773,17389.85
631072,"Sephiroth, the Savior - Atraxa, Grand Unifier (Showcase)",FINAL FANTASY: Through the Ages,302,335,17383.26
686578,Improvisation Capstone (Borderless),Secrets of Strixhaven,807,838,17381.03
505763,Fierce Guardianship (Borderless),Commander Masters,206,208,17368.6
631068,"Yuna, Grand Summoner (Borderless) (Surge Foil)",Commander: FINAL FANTASY,65,65,17304.12
227008,Mana Drain,Commander Legends,319,330,17286.31
658469,"Kratos, God of War",Secret Lair Drop Series,275,322,17148.87
624002,Scalding Tarn (Borderless),Special Guests,192,203,17032.0
578080,Enduring Vitality,Duskmourn: House of Horror,1598,1755,16990.36
638911,Godless Shrine,Edge of Eternities,1493,1709,16972.04
206926,Thassa's Oracle,Theros Beyond Death,722,734,16967.32
524230,"Ojer Taq, Deepest Foundation",The Lost Caverns of Ixalan,531,543,16960.76
562746,Enduring Tenacity,Duskmourn: House of Horror,1352,1422,16929.23
671525,Wistfulness,Lorwyn Eclipsed,1367,1810,16909.52
524414,Bloodletter of Aclazotz,The Lost Caverns of Ixalan,428,457,16906.37
631812,"Terra Branford - Urza, Lord High Artificer (Showcase)",FINAL FANTASY: Through the Ages,280,282,16897.59
3267,Candelabra of Tawnos,Antiquities,6,7,16886.52
82224,Mana Confluence,Journey Into Nyx,487,500,16868.68
591199,Sire of Seven Deaths,Foundations,810,939,16789.01
638143,Anima - Grief (Rainbow Foil),Secret Lair Drop Series,36,36,16713.96
10473,Wooded Foothills,Onslaught,83,116,16643.49
560459,Ms. Bumbleflower (Borderless) (Raised Foil),Commander: Bloomburrow,12,12,16559.57
517256,Legolas's Quick Reflexes (Borderless),Commander: The Lord of the Rings: Tales of Middle-earth,502,514,16536.46
230923,"Birgi, God of Storytelling (Showcase)",Kaldheim,445,451,16536.28
638909,"Tezzeret, Cruel Captain (Borderless)",Edge of Eternities,289,298,16523.43
671172,Springleaf Parade,Commander: Lorwyn Eclipsed,1284,2024,16443.85
656847,"Choco, Seeker of Paradise (Borderless) (Chocobo Track Foil)",FINAL FANTASY,189,191,16389.37
243293,Old Gnawbone,Adventures in the Forgotten Realms,318,318,16376.99
662430,Deflecting Swat (Showcase),Avatar: The Last Airbender: Eternal-Legal,207,208,16363.05
499318,Glittering Caves of Aglarond - Gemstone Caverns (Borderless),Commander: The Lord of the Rings: Tales of Middle-earth,220,231,16304.04
696285,"Loki, God of Mischief (Borderless)",Marvel Super Heroes,1264,1600,16268.41
9616,Cabal Ritual,Torment,806,934,16211.91
233497,Demonic Tutor (JP Alternate Art),Strixhaven: Mystical Archive,42,42,16201.62
234275,"Urborg, Tomb of Yawgmoth",Time Spiral: Remastered,257,263,16189.69
671780,Moonshadow,Lorwyn Eclipsed,1027,1417,16172.96
1492,Mana Vault,Revised Edition,201,204,16157.6
679620,City of Brass,Commander: Teenage Mutant Ninja Turtles,1307,1670,16132.87
641743,Terrasymbiosis,Edge of Eternities,1686,1794,16117.49
688834,Akroma's Will (JP Alternate Art) (Silver Scroll Foil),Secrets of Strixhaven: Mystical Archive,143,143,16081.98
509513,Smothering Tithe,Wilds of Eldraine: Enchanting Tales,255,259,16036.87
651338,Norman Osborn (Borderless),Marvel's Spider-Man,973,1040,16010.67
218811,Chrome Mox,Double Masters,95,95,16006.66
276323,Mana Vault (Borderless),Double Masters 2022,91,98,15990.04
168720,Scapeshift,Core Set 2019,299,334,15973.48
696429,"Captain America, First Avenger (Borderless)",Marvel Universe Eternal-Legal,845,856,15963.64
648732,The Cabbage Merchant,Avatar: The Last Airbender: Eternal-Legal,589,608,15944.06
689922,Beseech the Mirror,Secret Lair Drop Series,569,667,15919.53
122855,Mox Opal,Masterpiece Series: Kaladesh Inventions,12,13,15896.34
501909,Goblin Lackey (1311) (Rainbow Foil),Secret Lair Drop Series,163,166,15870.39
679072,Trouble in Pairs (Borderless),Teenage Mutant Ninja Turtles Source Material,951,1011,15861.39
